"Asset ID","Address","City","State","ZIP","Property Type","Beds","Baths","Square Feet","Occupancy","Condition","Reference Value","Loan Balance","Repair Estimate","Annual Taxes","HOA Monthly","Title Status","7% Allocation","Notes"
"REO-0019","1126 Illustration Park Drive (sample)","Tulsa","OK","74103","Duplex","4","1","2474","Tenant occupied","Good","517000","320540","6000","7238","0","Review required","36190","Fictional REO example; not an actual bank asset or valuation."
"REO-0020","1133 Model Pine Drive (sample)","Las Vegas","NV","89101","Single-family","5","2","2557","Vacant","Major rehabilitation","516000","371520","110000","7224","0","Review required","36120","Fictional REO example; not an actual bank asset or valuation."
"REO-0021","1140 Sample Oak Drive (sample)","Dallas","TX","75201","Single-family","2","3","2640","Vacant","Good","515000","422300","3000","7210","145","Review required","36050","Fictional REO example; not an actual bank asset or valuation."
"REO-0022","1147 Example Ridge Drive (sample)","Fort Worth","TX","76102","Single-family","3","1","2723","Tenant occupied","Fair","514000","472880","18000","7196","0","Title exception — review","35980","Fictional REO example; not an actual bank asset or valuation."
"REO-0023","1154 Demo Creek Drive (sample)","Phoenix","AZ","85004","Single-family","4","2","2806","Vacant","Poor","513000","523260","52000","7182","0","Review required","35910","Fictional REO example; not an actual bank asset or valuation."
"REO-0024","1161 Illustration Park Drive (sample)","Tampa","FL","33602","Single-family","5","3","2889","Vacant","Good","512000","573440","6000","7168","0","Review required","35840","Fictional REO example; not an actual bank asset or valuation."
"REO-0025","1168 Model Pine Drive (sample)","Atlanta","GA","30303","Single-family","2","1","2972","Tenant occupied","Major rehabilitation","511000","316820","110000","7154","145","Review required","35770","Fictional REO example; not an actual bank asset or valuation."
"REO-0026","1175 Sample Oak Drive (sample)","Columbus","OH","43215","Single-family","3","2","3055","Vacant","Good","510000","367200","3000","7140","0","Review required","35700","Fictional REO example; not an actual bank asset or valuation."
"REO-0027","1182 Example Ridge Drive (sample)","Memphis","TN","38103","Single-family","4","3","3138","Vacant","Fair","509000","417380","18000","7126","0","Review required","35630","Fictional REO example; not an actual bank asset or valuation."
"REO-0028","1189 Demo Creek Drive (sample)","Charlotte","NC","28202","Duplex","5","1","3221","Tenant occupied","Poor","508000","467360","52000","7112","0","Review required","35560","Fictional REO example; not an actual bank asset or valuation."
"REO-0029","1196 Illustration Park Drive (sample)","Tulsa","OK","74103","Single-family","2","2","3304","Vacant","Good","507000","517140","6000","7098","145","Title exception — review","35490","Fictional REO example; not an actual bank asset or valuation."
"REO-0030","1203 Model Pine Drive (sample)","Las Vegas","NV","89101","Single-family","3","3","3387","Vacant","Major rehabilitation","506000","566720","110000","7084","0","Review required","35420","Fictional REO example; not an actual bank asset or valuation."
"REO-0031","1210 Sample Oak Drive (sample)","Dallas","TX","75201","Single-family","4","1","3470","Tenant occupied","Good","505000","313100","3000","7070","0","Review required","35350","Fictional REO example; not an actual bank asset or valuation."
"REO-0032","1217 Example Ridge Drive (sample)","Fort Worth","TX","76102","Single-family","5","2","3553","Vacant","Fair","504000","362880","18000","7056","0","Review required","35280","Fictional REO example; not an actual bank asset or valuation."
"REO-0033","1224 Demo Creek Drive (sample)","Phoenix","AZ","85004","Single-family","2","3","3636","Vacant","Poor","503000","412460","52000","7042","145","Review required","35210","Fictional REO example; not an actual bank asset or valuation."
"REO-0034","1231 Illustration Park Drive (sample)","Tampa","FL","33602","Single-family","3","1","3719","Tenant occupied","Good","502000","461840","6000","7028","0","Review required","35140","Fictional REO example; not an actual bank asset or valuation."
"REO-0035","1238 Model Pine Drive (sample)","Atlanta","GA","30303","Single-family","4","2","3802","Vacant","Major rehabilitation","501000","511020","110000","7014","0","Review required","35070","Fictional REO example; not an actual bank asset or valuation."
"REO-0036","1245 Sample Oak Drive (sample)","Columbus","OH","43215","Single-family","5","3","985","Vacant","Good","500000","560000","3000","7000","0","Title exception — review","35000","Fictional REO example; not an actual bank asset or valuation."
"REO-0037","1252 Example Ridge Drive (sample)","Memphis","TN","38103","Duplex","2","1","1068","Tenant occupied","Fair","499000","309380","18000","6986","145","Review required","34930","Fictional REO example; not an actual bank asset or valuation."
"REO-0038","1259 Demo Creek Drive (sample)","Charlotte","NC","28202","Single-family","3","2","1151","Vacant","Poor","498000","358560","52000","6972","0","Review required","34860","Fictional REO example; not an actual bank asset or valuation."
"REO-0039","1266 Illustration Park Drive (sample)","Tulsa","OK","74103","Single-family","4","3","1234","Vacant","Good","497000","407540","6000","6958","0","Review required","34790","Fictional REO example; not an actual bank asset or valuation."
"REO-0040","1273 Model Pine Drive (sample)","Las Vegas","NV","89101","Single-family","5","1","1317","Tenant occupied","Major rehabilitation","496000","456320","110000","6944","0","Review required","34720","Fictional REO example; not an actual bank asset or valuation."
"REO-0041","1280 Sample Oak Drive (sample)","Dallas","TX","75201","Single-family","2","2","1400","Vacant","Good","495000","504900","3000","6930","145","Review required","34650","Fictional REO example; not an actual bank asset or valuation."
"REO-0042","1287 Example Ridge Drive (sample)","Fort Worth","TX","76102","Single-family","3","3","1483","Vacant","Fair","494000","553280","18000","6916","0","Review required","34580","Fictional REO example; not an actual bank asset or valuation."
"REO-0043","1294 Demo Creek Drive (sample)","Phoenix","AZ","85004","Single-family","4","1","1566","Tenant occupied","Poor","493000","305660","52000","6902","0","Title exception — review","34510","Fictional REO example; not an actual bank asset or valuation."
"REO-0044","1301 Illustration Park Drive (sample)","Tampa","FL","33602","Single-family","5","2","1649","Vacant","Good","492000","354240","6000","6888","0","Review required","34440","Fictional REO example; not an actual bank asset or valuation."
"REO-0045","1308 Model Pine Drive (sample)","Atlanta","GA","30303","Single-family","2","3","1732","Vacant","Major rehabilitation","491000","402620","110000","6874","145","Review required","34370","Fictional REO example; not an actual bank asset or valuation."
"REO-0046","1315 Sample Oak Drive (sample)","Columbus","OH","43215","Duplex","3","1","1815","Tenant occupied","Good","490000","450800","3000","6860","0","Review required","34300","Fictional REO example; not an actual bank asset or valuation."
"REO-0047","1322 Example Ridge Drive (sample)","Memphis","TN","38103","Single-family","4","2","1898","Vacant","Fair","489000","498780","18000","6846","0","Review required","34230","Fictional REO example; not an actual bank asset or valuation."
"REO-0048","1329 Demo Creek Drive (sample)","Charlotte","NC","28202","Single-family","5","3","1981","Vacant","Poor","488000","546560","52000","6832","0","Review required","34160","Fictional REO example; not an actual bank asset or valuation."
"REO-0049","1336 Illustration Park Drive (sample)","Tulsa","OK","74103","Single-family","2","1","2064","Tenant occupied","Good","487000","301940","6000","6818","145","Review required","34090","Fictional REO example; not an actual bank asset or valuation."
"REO-0050","1343 Model Pine Drive (sample)","Las Vegas","NV","89101","Single-family","3","2","2147","Vacant","Major rehabilitation","486000","349920","110000","6804","0","Title exception — review","34020","Fictional REO example; not an actual bank asset or valuation."
"REO-0051","1350 Sample Oak Drive (sample)","Dallas","TX","75201","Single-family","4","3","2230","Vacant","Good","485000","397700","3000","6790","0","Review required","33950","Fictional REO example; not an actual bank asset or valuation."
"REO-0052","1357 Example Ridge Drive (sample)","Fort Worth","TX","76102","Single-family","5","1","2313","Tenant occupied","Fair","484000","445280","18000","6776","0","Review required","33880","Fictional REO example; not an actual bank asset or valuation."
"REO-0053","1364 Demo Creek Drive (sample)","Phoenix","AZ","85004","Single-family","2","2","2396","Vacant","Poor","483000","492660","52000","6762","145","Review required","33810","Fictional REO example; not an actual bank asset or valuation."
"REO-0054","1371 Illustration Park Drive (sample)","Tampa","FL","33602","Single-family","3","3","2479","Vacant","Good","482000","539840","6000","6748","0","Review required","33740","Fictional REO example; not an actual bank asset or valuation."
"REO-0055","1378 Model Pine Drive (sample)","Atlanta","GA","30303","Duplex","4","1","2562","Tenant occupied","Major rehabilitation","481000","298220","110000","6734","0","Review required","33670","Fictional REO example; not an actual bank asset or valuation."
"REO-0056","1385 Sample Oak Drive (sample)","Columbus","OH","43215","Single-family","5","2","2645","Vacant","Good","480000","345600","3000","6720","0","Review required","33600","Fictional REO example; not an actual bank asset or valuation."
"REO-0057","1392 Example Ridge Drive (sample)","Memphis","TN","38103","Single-family","2","3","2728","Vacant","Fair","479000","392780","18000","6706","145","Title exception — review","33530","Fictional REO example; not an actual bank asset or valuation."
"REO-0058","1399 Demo Creek Drive (sample)","Charlotte","NC","28202","Single-family","3","1","2811","Tenant occupied","Poor","478000","439760","52000","6692","0","Review required","33460","Fictional REO example; not an actual bank asset or valuation."
"REO-0059","1406 Illustration Park Drive (sample)","Tulsa","OK","74103","Single-family","4","2","2894","Vacant","Good","477000","486540","6000","6678","0","Review required","33390","Fictional REO example; not an actual bank asset or valuation."
"REO-0060","1413 Model Pine Drive (sample)","Las Vegas","NV","89101","Single-family","5","3","2977","Vacant","Major rehabilitation","476000","533120","110000","6664","0","Review required","33320","Fictional REO example; not an actual bank asset or valuation."
"REO-0061","1420 Sample Oak Drive (sample)","Dallas","TX","75201","Single-family","2","1","3060","Tenant occupied","Good","475000","294500","3000","6650","145","Review required","33250","Fictional REO example; not an actual bank asset or valuation."
"REO-0062","1427 Example Ridge Drive (sample)","Fort Worth","TX","76102","Single-family","3","2","3143","Vacant","Fair","474000","341280","18000","6636","0","Review required","33180","Fictional REO example; not an actual bank asset or valuation."
"REO-0063","1434 Demo Creek Drive (sample)","Phoenix","AZ","85004","Single-family","4","3","3226","Vacant","Poor","473000","387860","52000","6622","0","Review required","33110","Fictional REO example; not an actual bank asset or valuation."
"REO-0064","1441 Illustration Park Drive (sample)","Tampa","FL","33602","Duplex","5","1","3309","Tenant occupied","Good","472000","434240","6000","6608","0","Title exception — review","33040","Fictional REO example; not an actual bank asset or valuation."
"REO-0065","1448 Model Pine Drive (sample)","Atlanta","GA","30303","Single-family","2","2","3392","Vacant","Major rehabilitation","471000","480420","110000","6594","145","Review required","32970","Fictional REO example; not an actual bank asset or valuation."
"REO-0066","1455 Sample Oak Drive (sample)","Columbus","OH","43215","Single-family","3","3","3475","Vacant","Good","470000","526400","3000","6580","0","Review required","32900","Fictional REO example; not an actual bank asset or valuation."
"REO-0067","1462 Example Ridge Drive (sample)","Memphis","TN","38103","Single-family","4","1","3558","Tenant occupied","Fair","469000","290780","18000","6566","0","Review required","32830","Fictional REO example; not an actual bank asset or valuation."
"REO-0068","1469 Demo Creek Drive (sample)","Charlotte","NC","28202","Single-family","5","2","3641","Vacant","Poor","468000","336960","52000","6552","0","Review required","32760","Fictional REO example; not an actual bank asset or valuation."
"REO-0069","1476 Illustration Park Drive (sample)","Tulsa","OK","74103","Single-family","2","3","3724","Vacant","Good","467000","382940","6000","6538","145","Review required","32690","Fictional REO example; not an actual bank asset or valuation."
"REO-0070","1483 Model Pine Drive (sample)","Las Vegas","NV","89101","Single-family","3","1","3807","Tenant occupied","Major rehabilitation","466000","428720","110000","6524","0","Review required","32620","Fictional REO example; not an actual bank asset or valuation."
"REO-0071","1490 Sample Oak Drive (sample)","Dallas","TX","75201","Single-family","4","2","990","Vacant","Good","465000","474300","3000","6510","0","Title exception — review","32550","Fictional REO example; not an actual bank asset or valuation."
"REO-0072","1497 Example Ridge Drive (sample)","Fort Worth","TX","76102","Single-family","5","3","1073","Vacant","Fair","464000","519680","18000","6496","0","Review required","32480","Fictional REO example; not an actual bank asset or valuation."
"REO-0073","1504 Demo Creek Drive (sample)","Phoenix","AZ","85004","Duplex","2","1","1156","Tenant occupied","Poor","463000","287060","52000","6482","145","Review required","32410","Fictional REO example; not an actual bank asset or valuation."
"REO-0074","1511 Illustration Park Drive (sample)","Tampa","FL","33602","Single-family","3","2","1239","Vacant","Good","462000","332640","6000","6468","0","Review required","32340","Fictional REO example; not an actual bank asset or valuation."
"REO-0075","1518 Model Pine Drive (sample)","Atlanta","GA","30303","Single-family","4","3","1322","Vacant","Major rehabilitation","461000","378020","110000","6454","0","Review required","32270","Fictional REO example; not an actual bank asset or valuation."
"REO-0076","1525 Sample Oak Drive (sample)","Columbus","OH","43215","Single-family","5","1","1405","Tenant occupied","Good","460000","423200","3000","6440","0","Review required","32200","Fictional REO example; not an actual bank asset or valuation."
"REO-0077","1532 Example Ridge Drive (sample)","Memphis","TN","38103","Single-family","2","2","1488","Vacant","Fair","459000","468180","18000","6426","145","Review required","32130","Fictional REO example; not an actual bank asset or valuation."
"REO-0078","1539 Demo Creek Drive (sample)","Charlotte","NC","28202","Single-family","3","3","1571","Vacant","Poor","458000","512960","52000","6412","0","Title exception — review","32060","Fictional REO example; not an actual bank asset or valuation."
"REO-0079","1546 Illustration Park Drive (sample)","Tulsa","OK","74103","Single-family","4","1","1654","Tenant occupied","Good","457000","283340","6000","6398","0","Review required","31990","Fictional REO example; not an actual bank asset or valuation."
"REO-0080","1553 Model Pine Drive (sample)","Las Vegas","NV","89101","Single-family","5","2","1737","Vacant","Major rehabilitation","456000","328320","110000","6384","0","Review required","31920","Fictional REO example; not an actual bank asset or valuation."
"REO-0081","1560 Sample Oak Drive (sample)","Dallas","TX","75201","Single-family","2","3","1820","Vacant","Good","455000","373100","3000","6370","145","Review required","31850","Fictional REO example; not an actual bank asset or valuation."
"REO-0082","1567 Example Ridge Drive (sample)","Fort Worth","TX","76102","Duplex","3","1","1903","Tenant occupied","Fair","454000","417680","18000","6356","0","Review required","31780","Fictional REO example; not an actual bank asset or valuation."
"REO-0083","1574 Demo Creek Drive (sample)","Phoenix","AZ","85004","Single-family","4","2","1986","Vacant","Poor","453000","462060","52000","6342","0","Review required","31710","Fictional REO example; not an actual bank asset or valuation."
"REO-0084","1581 Illustration Park Drive (sample)","Tampa","FL","33602","Single-family","5","3","2069","Vacant","Good","452000","506240","6000","6328","0","Review required","31640","Fictional REO example; not an actual bank asset or valuation."
"REO-0085","1588 Model Pine Drive (sample)","Atlanta","GA","30303","Single-family","2","1","2152","Tenant occupied","Major rehabilitation","451000","279620","110000","6314","145","Title exception — review","31570","Fictional REO example; not an actual bank asset or valuation."
"REO-0086","1595 Sample Oak Drive (sample)","Columbus","OH","43215","Single-family","3","2","2235","Vacant","Good","450000","324000","3000","6300","0","Review required","31500","Fictional REO example; not an actual bank asset or valuation."
"REO-0087","1602 Example Ridge Drive (sample)","Memphis","TN","38103","Single-family","4","3","2318","Vacant","Fair","449000","368180","18000","6286","0","Review required","31430","Fictional REO example; not an actual bank asset or valuation."
"REO-0088","1609 Demo Creek Drive (sample)","Charlotte","NC","28202","Single-family","5","1","2401","Tenant occupied","Poor","448000","412160","52000","6272","0","Review required","31360","Fictional REO example; not an actual bank asset or valuation."
"REO-0089","1616 Illustration Park Drive (sample)","Tulsa","OK","74103","Single-family","2","2","2484","Vacant","Good","447000","455940","6000","6258","145","Review required","31290","Fictional REO example; not an actual bank asset or valuation."
"REO-0090","1623 Model Pine Drive (sample)","Las Vegas","NV","89101","Single-family","3","3","2567","Vacant","Major rehabilitation","446000","499520","110000","6244","0","Review required","31220","Fictional REO example; not an actual bank asset or valuation."
"REO-0091","1630 Sample Oak Drive (sample)","Dallas","TX","75201","Duplex","4","1","2650","Tenant occupied","Good","445000","275900","3000","6230","0","Review required","31150","Fictional REO example; not an actual bank asset or valuation."
"REO-0092","1637 Example Ridge Drive (sample)","Fort Worth","TX","76102","Single-family","5","2","2733","Vacant","Fair","444000","319680","18000","6216","0","Title exception — review","31080","Fictional REO example; not an actual bank asset or valuation."
"REO-0093","1644 Demo Creek Drive (sample)","Phoenix","AZ","85004","Single-family","2","3","2816","Vacant","Poor","443000","363260","52000","6202","145","Review required","31010","Fictional REO example; not an actual bank asset or valuation."
"REO-0094","1651 Illustration Park Drive (sample)","Tampa","FL","33602","Single-family","3","1","2899","Tenant occupied","Good","442000","406640","6000","6188","0","Review required","30940","Fictional REO example; not an actual bank asset or valuation."
"REO-0095","1658 Model Pine Drive (sample)","Atlanta","GA","30303","Single-family","4","2","2982","Vacant","Major rehabilitation","441000","449820","110000","6174","0","Review required","30870","Fictional REO example; not an actual bank asset or valuation."
"REO-0096","1665 Sample Oak Drive (sample)","Columbus","OH","43215","Single-family","5","3","3065","Vacant","Good","440000","492800","3000","6160","0","Review required","30800","Fictional REO example; not an actual bank asset or valuation."
"REO-0097","1672 Example Ridge Drive (sample)","Memphis","TN","38103","Single-family","2","1","3148","Tenant occupied","Fair","439000","272180","18000","6146","145","Review required","30730","Fictional REO example; not an actual bank asset or valuation."
"REO-0098","1679 Demo Creek Drive (sample)","Charlotte","NC","28202","Single-family","3","2","3231","Vacant","Poor","438000","315360","52000","6132","0","Review required","30660","Fictional REO example; not an actual bank asset or valuation."
"REO-0099","1686 Illustration Park Drive (sample)","Tulsa","OK","74103","Single-family","4","3","3314","Vacant","Good","437000","358340","6000","6118","0","Title exception — review","30590","Fictional REO example; not an actual bank asset or valuation."
"REO-0100","1693 Model Pine Drive (sample)","Las Vegas","NV","89101","Duplex","5","1","3397","Tenant occupied","Major rehabilitation","436000","401120","110000","6104","0","Review required","30520","Fictional REO example; not an actual bank asset or valuation."
"REO-0101","1700 Sample Oak Drive (sample)","Dallas","TX","75201","Single-family","2","2","3480","Vacant","Good","435000","443700","3000","6090","145","Review required","30450","Fictional REO example; not an actual bank asset or valuation."
"REO-0102","1707 Example Ridge Drive (sample)","Fort Worth","TX","76102","Single-family","3","3","3563","Vacant","Fair","434000","486080","18000","6076","0","Review required","30380","Fictional REO example; not an actual bank asset or valuation."
"REO-0103","1714 Demo Creek Drive (sample)","Phoenix","AZ","85004","Single-family","4","1","3646","Tenant occupied","Poor","433000","268460","52000","6062","0","Review required","30310","Fictional REO example; not an actual bank asset or valuation."
"REO-0104","1721 Illustration Park Drive (sample)","Tampa","FL","33602","Single-family","5","2","3729","Vacant","Good","432000","311040","6000","6048","0","Review required","30240","Fictional REO example; not an actual bank asset or valuation."
"REO-0105","1728 Model Pine Drive (sample)","Atlanta","GA","30303","Single-family","2","3","3812","Vacant","Major rehabilitation","431000","353420","110000","6034","145","Review required","30170","Fictional REO example; not an actual bank asset or valuation."
"REO-0106","1735 Sample Oak Drive (sample)","Columbus","OH","43215","Single-family","3","1","995","Tenant occupied","Good","430000","395600","3000","6020","0","Title exception — review","30100","Fictional REO example; not an actual bank asset or valuation."
"REO-0107","1742 Example Ridge Drive (sample)","Memphis","TN","38103","Single-family","4","2","1078","Vacant","Fair","429000","437580","18000","6006","0","Review required","30030","Fictional REO example; not an actual bank asset or valuation."
"REO-0108","1749 Demo Creek Drive (sample)","Charlotte","NC","28202","Single-family","5","3","1161","Vacant","Poor","428000","479360","52000","5992","0","Review required","29960","Fictional REO example; not an actual bank asset or valuation."
"REO-0109","1756 Illustration Park Drive (sample)","Tulsa","OK","74103","Duplex","2","1","1244","Tenant occupied","Good","427000","264740","6000","5978","145","Review required","29890","Fictional REO example; not an actual bank asset or valuation."
"REO-0110","1763 Model Pine Drive (sample)","Las Vegas","NV","89101","Single-family","3","2","1327","Vacant","Major rehabilitation","426000","306720","110000","5964","0","Review required","29820","Fictional REO example; not an actual bank asset or valuation."
"REO-0111","1770 Sample Oak Drive (sample)","Dallas","TX","75201","Single-family","4","3","1410","Vacant","Good","425000","348500","3000","5950","0","Review required","29750","Fictional REO example; not an actual bank asset or valuation."
"REO-0112","1777 Example Ridge Drive (sample)","Fort Worth","TX","76102","Single-family","5","1","1493","Tenant occupied","Fair","424000","390080","18000","5936","0","Review required","29680","Fictional REO example; not an actual bank asset or valuation."
"REO-0113","1784 Demo Creek Drive (sample)","Phoenix","AZ","85004","Single-family","2","2","1576","Vacant","Poor","423000","431460","52000","5922","145","Title exception — review","29610","Fictional REO example; not an actual bank asset or valuation."
"REO-0114","1791 Illustration Park Drive (sample)","Tampa","FL","33602","Single-family","3","3","1659","Vacant","Good","422000","472640","6000","5908","0","Review required","29540","Fictional REO example; not an actual bank asset or valuation."
"REO-0115","1798 Model Pine Drive (sample)","Atlanta","GA","30303","Single-family","4","1","1742","Tenant occupied","Major rehabilitation","421000","261020","110000","5894","0","Review required","29470","Fictional REO example; not an actual bank asset or valuation."
"REO-0116","1805 Sample Oak Drive (sample)","Columbus","OH","43215","Single-family","5","2","1825","Vacant","Good","420000","302400","3000","5880","0","Review required","29400","Fictional REO example; not an actual bank asset or valuation."
"REO-0117","1812 Example Ridge Drive (sample)","Memphis","TN","38103","Single-family","2","3","1908","Vacant","Fair","419000","343580","18000","5866","145","Review required","29330","Fictional REO example; not an actual bank asset or valuation."
"REO-0118","1819 Demo Creek Drive (sample)","Charlotte","NC","28202","Duplex","3","1","1991","Tenant occupied","Poor","418000","384560","52000","5852","0","Review required","29260","Fictional REO example; not an actual bank asset or valuation."
"REO-0119","1826 Illustration Park Drive (sample)","Tulsa","OK","74103","Single-family","4","2","2074","Vacant","Good","417000","425340","6000","5838","0","Review required","29190","Fictional REO example; not an actual bank asset or valuation."
"REO-0120","1833 Model Pine Drive (sample)","Las Vegas","NV","89101","Single-family","5","3","2157","Vacant","Major rehabilitation","416000","465920","110000","5824","0","Title exception — review","29120","Fictional REO example; not an actual bank asset or valuation."
"REO-0121","1840 Sample Oak Drive (sample)","Dallas","TX","75201","Single-family","2","1","2240","Tenant occupied","Good","415000","257300","3000","5810","145","Review required","29050","Fictional REO example; not an actual bank asset or valuation."
"REO-0122","1847 Example Ridge Drive (sample)","Fort Worth","TX","76102","Single-family","3","2","2323","Vacant","Fair","414000","298080","18000","5796","0","Review required","28980","Fictional REO example; not an actual bank asset or valuation."
"REO-0123","1854 Demo Creek Drive (sample)","Phoenix","AZ","85004","Single-family","4","3","2406","Vacant","Poor","413000","338660","52000","5782","0","Review required","28910","Fictional REO example; not an actual bank asset or valuation."
"REO-0124","1861 Illustration Park Drive (sample)","Tampa","FL","33602","Single-family","5","1","2489","Tenant occupied","Good","412000","379040","6000","5768","0","Review required","28840","Fictional REO example; not an actual bank asset or valuation."
"REO-0125","1868 Model Pine Drive (sample)","Atlanta","GA","30303","Single-family","2","2","2572","Vacant","Major rehabilitation","411000","419220","110000","5754","145","Review required","28770","Fictional REO example; not an actual bank asset or valuation."
"REO-0126","1875 Sample Oak Drive (sample)","Columbus","OH","43215","Single-family","3","3","2655","Vacant","Good","410000","459200","3000","5740","0","Review required","28700","Fictional REO example; not an actual bank asset or valuation."
"REO-0127","1882 Example Ridge Drive (sample)","Memphis","TN","38103","Duplex","4","1","2738","Tenant occupied","Fair","409000","253580","18000","5726","0","Title exception — review","28630","Fictional REO example; not an actual bank asset or valuation."
"REO-0128","1889 Demo Creek Drive (sample)","Charlotte","NC","28202","Single-family","5","2","2821","Vacant","Poor","408000","293760","52000","5712","0","Review required","28560","Fictional REO example; not an actual bank asset or valuation."
"REO-0129","1896 Illustration Park Drive (sample)","Tulsa","OK","74103","Single-family","2","3","2904","Vacant","Good","407000","333740","6000","5698","145","Review required","28490","Fictional REO example; not an actual bank asset or valuation."
"REO-0130","1903 Model Pine Drive (sample)","Las Vegas","NV","89101","Single-family","3","1","2987","Tenant occupied","Major rehabilitation","406000","373520","110000","5684","0","Review required","28420","Fictional REO example; not an actual bank asset or valuation."
"REO-0131","1910 Sample Oak Drive (sample)","Dallas","TX","75201","Single-family","4","2","3070","Vacant","Good","405000","413100","3000","5670","0","Review required","28350","Fictional REO example; not an actual bank asset or valuation."
"REO-0132","1917 Example Ridge Drive (sample)","Fort Worth","TX","76102","Single-family","5","3","3153","Vacant","Fair","404000","452480","18000","5656","0","Review required","28280","Fictional REO example; not an actual bank asset or valuation."
"REO-0133","1924 Demo Creek Drive (sample)","Phoenix","AZ","85004","Single-family","2","1","3236","Tenant occupied","Poor","403000","249860","52000","5642","145","Review required","28210","Fictional REO example; not an actual bank asset or valuation."
"REO-0134","1931 Illustration Park Drive (sample)","Tampa","FL","33602","Single-family","3","2","3319","Vacant","Good","402000","289440","6000","5628","0","Title exception — review","28140","Fictional REO example; not an actual bank asset or valuation."
"REO-0135","1938 Model Pine Drive (sample)","Atlanta","GA","30303","Single-family","4","3","3402","Vacant","Major rehabilitation","401000","328820","110000","5614","0","Review required","28070","Fictional REO example; not an actual bank asset or valuation."
